LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
21,9,11.692752255009909,11.235733345110447,0.018001800180018002,77.19863713286084,2.7939677238464355e-09,8.468970300390524,4.142191081915987,15.20881360920852,24.82161698568324,33.920740175242315,57.7485108114859,76.57579543895504
21,10,11.75669761199379,11.249960144220049,0.020702070207020702,73.10995317976348,6.51925802230835e-09,8.47399012829333,4.307232402194598,15.223179246785168,24.90960688766381,34.23174615225315,57.84163221046781,73.07421806987108
21,11,11.77242009874902,11.151037834755016,0.020702070207020702,73.84303015236738,6.51925802230835e-09,8.37636743928717,4.423687218898761,15.32233570326851,25.360453119091844,33.68083078643765,56.1065593704935,73.50553338267186
21,12,11.784606240708271,10.964444118580104,0.020702070207020702,74.72846599682748,6.51925802230835e-09,8.452310920006774,4.434781328329073,15.194687406517593,24.502135495250826,34.083058395424494,56.49037331368141,73.92900449626185
21,13,11.799547170104086,10.896410181878702,0.020702070207020702,75.47807816336302,6.51925802230835e-09,8.617169719545652,4.361190845988672,15.288878745557888,24.255469901627063,34.29667356154286,55.14973243296817,74.55486334539634
21,14,11.80647997285897,10.827806860371112,0.021602160216021602,75.72459061066264,6.51925802230835e-09,8.613601920924756,4.398214155291566,15.530097060326723,24.636874513435423,34.572808759290346,53.523190143803376,74.67560429628836
21,15,11.80501043840585,10.751494695113925,0.021602160216021602,70.50848065252742,5.587935447692871e-09,8.810021139508684,4.476314745185157,15.478327331478637,24.523414715552253,34.897412927687675,54.44562726486784,69.89173944931942
22,1,12.507163861110575,13.379928236093404,0.0036003600360036,85.20359663887409,0.0,8.110774616425818,3.2522160610953286,17.820160687169825,28.400831199057627,37.968499596304454,64.84096338601428,85.13671056380987
22,2,11.966217858468037,12.442502971722663,0.0036003600360036,86.76602045094229,0.0,8.04349736219352,3.6369200611310943,16.509843310496727,26.348227320267398,36.01488156405849,63.42855210937996,86.38418372842737
22,3,11.75749977774465,11.756720059887307,0.0036003600360036,79.96671563285695,9.313225746154785e-10,8.130896510165064,3.9892722283681525,15.536041007647391,25.4898341894015,36.657799708534476,57.972522993203825,79.83131423914395
22,4,11.865900909525951,11.837998316908678,0.0063006300630063005,79.96671563285695,2.7939677238464355e-09,8.000940144093876,4.081583793885003,15.516408407213646,26.117675094642962,35.58027405551127,58.543607472216365,79.83168151236397
22,5,11.787686160245922,11.723864350335194,0.0072007200720072,79.96671563285695,2.7939677238464355e-09,8.071253347875356,4.033905908987444,15.212677949944716,25.82413454488486,35.15804454886506,59.25129673479862,79.60915668953244
22,6,11.777588871537828,11.609847293827553,0.0072007200720072,79.96671563285695,2.7939677238464355e-09,8.274436058942996,3.996163049322794,15.39699159659807,26.264568244748702,34.62975755788932,59.52662660780471,79.60915668953244
22,7,11.736697265196923,11.423152979371507,0.008100810081008101,79.96671563285695,2.7939677238464355e-09,8.201423428076488,3.9854558088082643,15.346769870532405,25.903130126404818,34.924082684980135,58.09046036841617,79.54940393284146
22,8,11.723746162255129,11.335339997864015,0.008100810081008101,79.96671563285695,2.7939677238464355e-09,8.270170107352266,4.069313997879208,15.454832255311413,24.880238589600626,35.337634649914655,56.27392830364292,78.93621482150861
22,9,11.698778642113782,11.289573658414529,0.008100810081008101,77.19863713286084,2.7939677238464355e-09,8.347502118101925,4.110055352070555,15.042489824838242,24.485685875007793,34.9735871826393,57.434057534848925,76.06834835263668
22,10,11.715855492388632,11.222170747422263,0.009900990099009901,73.10995317976348,6.51925802230835e-09,8.379128193553175,4.205301987144855,15.011978815863687,24.827673052636605,34.433682483685914,57.66742440981891,72.25928984938201
22,11,11.747148356619084,11.179314725396983,0.012601260126012601,70.05522613977013,6.51925802230835e-09,8.328777280153544,4.282107810974502,15.340103564828258,25.433364088865265,33.794797946085666,58.75052002851377,69.53690191184388
22,12,11.77237289796556,11.066161050268935,0.012601260126012601,67.37371438168827,6.51925802230835e-09,8.424525109796662,4.329172082748589,15.212228620551084,24.750979215688666,34.24728764346537,55.9662685181674,67.14597562670272
22,13,11.816102231309321,11.010965089369334,0.0144014401440144,66.98484156753332,6.51925802230835e-09,8.474480038093882,4.33117977667208,15.527270581177769,24.760091308679293,34.43497177082223,55.21711027386879,66.8623567806052
22,14,11.821967757420603,10.977120486833591,0.0144014401440144,67.11558484791577,6.51925802230835e-09,8.557579894641052,4.334625098427114,15.37422106062581,25.2133125147445,34.48117230380346,56.28668940789853,66.92496028478465
22,15,11.831144095506984,10.892517816187425,0.0153015301530153,66.47748883582058,5.587935447692871e-09,8.708340149236465,4.394992174371165,15.451939752232178,25.281724898033005,34.89348740796754,53.05560107347054,66.29749450838888
