LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
17,6,11.508556596670376,12.284586255885745,0.05,62.71563942917164,0.5932008220493914,7.733669015392936,3.6733453099431723,12.428821343518386,27.143493183435595,37.49456381388548,56.6935738134877,62.65541877301471
17,7,11.377415836388424,11.568918663916678,0.05,58.86476902368611,0.5846478766413676,7.623121189552628,4.326059351008586,12.722579710409537,25.5943884382951,35.70868538755193,53.424447823381534,58.810365811682985
17,8,11.403129310192725,11.354524377413309,0.05,54.294144986006366,0.7712134429651357,7.599819849447217,4.393362392053582,13.691942720810435,27.195457533788844,35.702418553410595,53.48193000164502,54.28602283616274
17,9,11.35056530695943,11.049228761939617,0.06,55.15234888192205,0.45124814352341175,7.861349495221314,4.678558038035874,13.460149333376382,27.092273571583014,35.24139597604722,51.37673834625226,55.11459277656531
17,10,11.371610116575798,10.960963050027544,0.06,55.839005688630934,0.525955954635077,7.959374156004308,4.53760762084089,14.10442139518429,25.17891543534472,35.42416292187409,50.1020526644121,55.78163615838868
17,11,11.586742509769781,10.970900453042184,0.06,56.40087543376655,0.23021281752658576,8.176364788910515,4.907537521909037,13.848565367763955,26.153939739532447,35.24257289769042,53.40189050851153,56.37088558451397
17,12,11.413242110968403,10.678688188228744,0.07,56.79509074934838,0.357209902611678,8.284725140575922,4.805578646347809,14.2855952839339,22.383961922208528,32.06658686065418,54.30455733461233,56.770185415201006
17,13,11.566155808110016,10.398633921284443,0.07,52.22257109812488,0.5698227588211379,8.128071995189488,4.780549466268251,14.166660391043857,23.09662124188549,34.90438784173309,49.897892339693946,52.199324310540554
17,14,11.716916521637526,10.42865259943026,0.07,53.20838937162321,0.5312569703006332,8.594573852197303,4.477332352340769,14.524672200566966,23.43452868327476,38.244875511691674,46.52659199807842,53.141571397887716
17,15,11.759325899946045,10.574296124103089,0.08,53.79514656500605,0.6013165317529723,8.333865598643193,4.516606651064346,14.435729532624608,23.45473531607371,38.02974888467547,44.22455307326575,53.69944063008861
18,1,12.738307842856187,14.529391646368591,0.03,63.285604052493284,0.35509034645897347,7.291198807200341,3.250322040249164,14.547149472264456,31.937199820950717,50.36496260205807,59.45986512852297,63.24734666325356
18,2,11.815518637061661,13.824512745170637,0.03,62.530515606220206,0.35509034645897347,6.654696351884777,4.316832699737416,12.393908638975432,28.86190359218372,47.07966943146619,60.13513837749141,62.506561833932906
18,3,11.72243689569157,13.212874562083842,0.03,62.333298918046715,0.35509034645897347,6.816738397028193,3.5265574657522905,13.32008702456676,30.28811608731583,43.28152305731805,60.36241442005419,62.31359007306678
18,4,12.170721958556046,13.295675388726718,0.04,62.24506368765495,0.9469747335957335,7.217149701646342,3.481493193841223,13.601559000722256,29.74631784537223,45.048438793258754,61.674711373207046,62.239360164510465
18,5,12.15154528793211,13.255344248522904,0.05,67.438339778402,0.7971045443149856,7.5180049220270035,3.936628779994634,14.034276230916696,28.102250126926513,41.534660037802894,62.71064314397671,67.39106281205767
18,6,11.792471760757198,13.097700019673496,0.05,71.38579328236938,0.9474454293732006,7.278658631785851,3.3450052478010304,13.643734413442633,26.925914456922126,37.49456381388548,62.876448579906096,71.30069983534462
18,7,11.6138750584775,12.595869062049614,0.05,66.10229974629604,0.7868112873112357,7.587892505465015,4.052601086704861,14.19150548112109,25.169389576977796,36.941296083819296,62.66219901596536,66.06789873899268
18,8,11.505754928127756,12.122033552428205,0.05,62.380015691528925,0.7712134429651357,7.551587854757287,4.066858016191837,14.055234325424557,25.4183920767868,35.627537052242374,57.97535245607031,62.335969059174275
18,9,11.664497205414516,11.991417005059558,0.05,62.333298918046715,0.5996685508090707,7.884065812500957,4.07302316122192,15.206266588198687,25.140536455971677,34.68689564150544,59.93419061619088,62.30930783502812
18,10,11.682145145813406,11.725616455151012,0.05,62.408875273694235,0.525955954635077,8.086578419758514,4.438028759086384,14.785697600821074,24.571211642756097,35.488115430432906,59.80547144913258,62.38284123544858
18,11,11.785524487381892,11.604647284451007,0.05,62.473996274485195,0.4782516069193328,8.159224553227654,4.948005426398952,14.511093519711462,24.5265697253559,36.14170545298768,55.774062658765324,62.4069969383279
18,12,11.786152544398247,11.300263053608562,0.05,62.41203833409451,0.48582015045611127,8.284725140575922,5.021426995946282,14.384071522111118,24.50307949661113,35.21781656941858,52.46562461264114,62.31257419687984
