LIMIT;K;MEAN_ERROR;STD_ERROR;MAX_ERROR;MIN_ERROR;MEDIAN_ERROR;25th_PERCENTILE;75th_PERCENTILE;90th_PERCENTILE;95th_PERCENTILE;99th_PERCENTILE;99.99th_PERCENTILE
5;14;14.140543068852628;12.635703239716138;59.43266485481514;0.5312569703006332;9.827463145295262;4.015840697271777;21.203582555614577;31.560299096165295;36.319033507532836;54.76052676403652;59.385943473907346
4;14;14.058400438285952;12.570947905623035;59.43266485481514;0.5312569703006332;9.56127345607239;4.107283705078785;20.98717518114411;31.390957205429928;36.25942128198239;54.69652487238207;59.38530345499078
3;14;14.05530491726998;12.572363330804379;59.43266485481514;0.5312569703006332;9.56127345607239;4.107283705078785;20.98717518114411;31.390957205429928;36.25942128198239;54.69652487238207;59.38530345499078
20;15;x;x;x;x;x;x;x;x;x;x;x
19;15;x;x;x;x;x;x;x;x;x;x;x
18;15;x;x;x;x;x;x;x;x;x;x;x
17;15;x;x;x;x;x;x;x;x;x;x;x
16;15;x;x;x;x;x;x;x;x;x;x;x
15;15;x;x;x;x;x;x;x;x;x;x;x
14;15;x;x;x;x;x;x;x;x;x;x;x
13;15;x;x;x;x;x;x;x;x;x;x;x
12;15;x;x;x;x;x;x;x;x;x;x;x
11;15;x;x;x;x;x;x;x;x;x;x;x
10;15;x;x;x;x;x;x;x;x;x;x;x
9;15;14.50521468264604;12.648058603292792;56.54043814074528;0.6013165317529723;10.75771544644767;4.321615079065895;22.64263286614729;32.606085433573305;36.37371117899777;52.244960336082066;56.49748336269864
8;15;14.171521179408975;12.62734790379535;56.54043814074528;0.6013165317529723;10.068505509878484;4.126599984486526;22.48366172129922;32.398994993777876;36.27590166852848;52.12045373304837;56.49623829666826
7;15;14.022657627356088;12.60513505083425;56.54043814074528;0.6013165317529723;9.410640405264676;3.6368037392172217;22.404176148875187;32.257846877310605;36.226996913293824;52.05820043153148;56.49561576365307
6;15;14.024507338873864;12.604284508754393;56.54043814074528;0.6013165317529723;9.410640405264676;3.6368037392172217;22.404176148875187;32.257846877310605;36.226996913293824;52.05820043153148;56.49561576365307
5;15;14.1142406462392;12.539456233081417;56.54043814074528;0.6013165317529723;10.068505509878484;3.8000691543069895;21.915316911169377;32.11669876084335;36.17809215805918;51.99594713001459;56.49499323063797
4;15;14.031199396145208;12.476047021999806;56.54043814074528;0.6013165317529723;9.410640405264676;3.963334569396758;21.42645767346357;31.975550644376096;36.129187402824535;51.933693828497795;56.49437069762278
3;15;14.028318957675577;12.477346008783174;56.54043814074528;0.6013165317529723;9.410640405264676;3.963334569396758;21.42645767346357;31.975550644376096;36.129187402824535;51.933693828497795;56.49437069762278
20;16;x;x;x;x;x;x;x;x;x;x;x
19;16;x;x;x;x;x;x;x;x;x;x;x
18;16;x;x;x;x;x;x;x;x;x;x;x
17;16;x;x;x;x;x;x;x;x;x;x;x
16;16;x;x;x;x;x;x;x;x;x;x;x
15;16;x;x;x;x;x;x;x;x;x;x;x
14;16;x;x;x;x;x;x;x;x;x;x;x
13;16;x;x;x;x;x;x;x;x;x;x;x
12;16;x;x;x;x;x;x;x;x;x;x;x
11;16;x;x;x;x;x;x;x;x;x;x;x
10;16;x;x;x;x;x;x;x;x;x;x;x
9;16;14.652892348593328;12.533509513195181;54.01056974998991;0.5657110174283126;10.886703184826576;4.320818946400159;22.900192971629536;32.39390011240966;36.193771596959486;49.55835054346207;53.966047557924625
8;16;14.324947538696083;12.511681082300617;54.01056974998991;0.5657110174283126;9.502636736515466;4.153469896670106;22.169556297280614;32.13849164660653;35.997206609723506;49.42930071138882;53.96475705960385
7;16;14.164965250559481;12.500843009597254;54.01056974998991;0.5657110174283126;8.819654394679134;4.043640182423893;21.80423796010615;32.123161158774465;35.89892411610548;49.36477579535215;53.96411181044346
6;16;14.163909988859213;12.501344571852272;54.01056974998991;0.5657110174283126;8.819654394679134;4.043640182423893;21.80423796010615;32.123161158774465;35.89892411610548;49.36477579535215;53.96411181044346
5;16;14.250472299758774;12.435929030619947;54.01056974998991;0.5657110174283126;9.502636736515466;4.08025008717263;21.741031378429113;32.107830670942406;35.8006416224875;49.300250879315485;53.96346656128316
4;16;14.165228813395863;12.374649554453525;54.01056974998991;0.5657110174283126;8.819654394679134;4.116859991921368;21.677824796752077;32.09250018311034;35.7023591288695;49.2357259632789;53.96282131212278
3;16;14.159849611180467;12.377160371752936;54.01056974998991;0.5657110174283126;8.819654394679134;4.116859991921368;21.677824796752077;32.09250018311034;35.7023591288695;49.2357259632789;53.96282131212278
20;17;x;x;x;x;x;x;x;x;x;x;x
19;17;x;x;x;x;x;x;x;x;x;x;x
18;17;x;x;x;x;x;x;x;x;x;x;x
17;17;x;x;x;x;x;x;x;x;x;x;x
16;17;x;x;x;x;x;x;x;x;x;x;x
15;17;x;x;x;x;x;x;x;x;x;x;x
14;17;x;x;x;x;x;x;x;x;x;x;x
13;17;x;x;x;x;x;x;x;x;x;x;x
12;17;x;x;x;x;x;x;x;x;x;x;x
11;17;x;x;x;x;x;x;x;x;x;x;x
10;17;x;x;x;x;x;x;x;x;x;x;x
9;17;14.650503605361752;12.367781776124325;51.77907133220956;0.6256249509223882;10.571548302638295;4.265485291416071;22.577239027835944;33.60741293219379;36.602196881026956;47.21408934076227;51.733421512295074
8;17;14.321743073758578;12.35038717143767;51.77907133220956;0.6256249509223882;9.532426746376537;4.1935414345023965;21.503410337358492;33.38234727338497;36.40740239400828;47.081771022169626;51.73209832910911
7;17;14.161740391300107;12.341597104706914;51.77907133220956;0.6256249509223882;9.304233454010841;4.189569724501065;20.966495992119764;33.25419214322901;36.31000515049892;47.01561186287325;51.73143673751612
6;17;14.158144887861186;12.343327663384436;51.77907133220956;0.6256249509223882;9.304233454010841;4.189569724501065;20.966495992119764;33.25419214322901;36.31000515049892;47.01561186287325;51.73143673751612
5;17;14.243384177197898;12.278725743163392;51.77907133220956;0.6256249509223882;9.532426746376537;4.190893627834843;20.854570652204714;33.126037013073066;36.21260790698958;46.94945270357688;51.73077514592323
4;17;14.158495205851374;12.218756079662985;51.77907133220956;0.6256249509223882;9.304233454010841;4.19221753116862;20.74264531228966;32.99788188291711;36.11521066348025;46.883293544280605;51.730113554330245
3;17;14.153444237846942;12.221107889900912;51.77907133220956;0.6256249509223882;9.304233454010841;4.19221753116862;20.74264531228966;32.99788188291711;36.11521066348025;46.883293544280605;51.730113554330245
20;18;x;x;x;x;x;x;x;x;x;x;x
19;18;x;x;x;x;x;x;x;x;x;x;x
18;18;x;x;x;x;x;x;x;x;x;x;x
17;18;x;x;x;x;x;x;x;x;x;x;x
16;18;x;x;x;x;x;x;x;x;x;x;x
15;18;x;x;x;x;x;x;x;x;x;x;x
14;18;x;x;x;x;x;x;x;x;x;x;x
13;18;x;x;x;x;x;x;x;x;x;x;x
12;18;x;x;x;x;x;x;x;x;x;x;x
11;18;x;x;x;x;x;x;x;x;x;x;x
10;18;x;x;x;x;x;x;x;x;x;x;x
9;18;14.754461591540627;12.335017814138197;49.79617703833423;0.45441848322993705;11.099152180834501;4.502932456664626;22.32003653427556;34.40676105662993;37.43842947878038;45.154455425459886;49.749759822205476
8;18;14.422876845424204;12.320684093202836;49.79617703833423;0.45441848322993705;10.387314017497568;4.428502142302634;21.573555615498194;34.29890178405279;37.21487409755154;45.01991277001428;49.748414395650975
7;18;14.259180733565973;12.314591210470727;49.79617703833423;0.45441848322993705;10.224393459495493;4.257682358225267;21.200315156109507;34.256915105246;37.10309640693708;44.95264144229143;49.74774168237372
6;18;14.25818461462636;12.315079836209074;49.79617703833423;0.45441848322993705;10.224393459495493;4.257682358225267;21.200315156109507;34.256915105246;37.10309640693708;44.95264144229143;49.74774168237372
5;18;14.35777328815164;12.258546433337704;49.79617703833423;0.45441848322993705;10.387314017497568;4.314622286251057;21.387534309396287;34.21492842643921;36.99131871632265;44.88537011456857;49.74706896909657
4;18;14.281152129857027;12.194360341456427;49.79617703833423;0.45441848322993705;10.224393459495493;4.371562214276845;21.32512792496736;34.17294174763242;36.87954102570823;44.81809878684582;49.74639625581931
3;18;14.27877493901188;12.195497087635555;49.79617703833423;0.45441848322993705;10.224393459495493;4.371562214276845;21.32512792496736;34.17294174763242;36.87954102570823;44.81809878684582;49.74639625581931
20;19;x;x;x;x;x;x;x;x;x;x;x
19;19;x;x;x;x;x;x;x;x;x;x;x
18;19;x;x;x;x;x;x;x;x;x;x;x
17;19;x;x;x;x;x;x;x;x;x;x;x
16;19;x;x;x;x;x;x;x;x;x;x;x
